,ParticipantID,TrialNum,TruePercent,ReportedPercent,AbsError,Log2Error,ChartType
185,9fxeks,61,87,86,1,0.1699250014423123,Stacked
186,9fxeks,62,95,79,16,4.011227255423254,Stacked
187,334n4w,1,80,77,3,1.6438561897747248,Normal
188,334n4w,2,59,37,22,4.467605550082998,Normal
189,334n4w,3,57,50,7,2.8328900141647417,Normal
190,334n4w,4,98,93,5,2.357552004618084,Normal
191,334n4w,5,32,30,2,1.087462841250339,Normal
192,334n4w,6,15,11,4,2.0443941193584534,Normal
193,334n4w,7,9,16,7,2.8328900141647417,Normal
194,334n4w,8,59,74,15,3.918863237274594,Normal
195,334n4w,9,27,15,12,3.599912842187128,Normal
196,334n4w,10,48,66,18,4.179909090014935,Normal
197,334n4w,11,54,42,12,3.599912842187128,Normal
198,334n4w,12,40,44,4,2.0443941193584534,Normal
199,334n4w,13,31,30,1,0.1699250014423123,Normal
200,334n4w,14,87,79,8,3.0223678130284544,Normal
201,334n4w,15,42,30,12,3.599912842187128,Normal
202,334n4w,16,55,27,28,4.813781191217037,Normal
203,334n4w,17,83,75,8,3.0223678130284544,Normal
204,334n4w,18,80,78,2,1.087462841250339,Normal
205,334n4w,19,26,30,4,2.0443941193584534,Normal
206,334n4w,20,75,81,6,2.6147098441152083,Normal
207,334n4w,21,28,50,22,4.467605550082998,Diverging
208,334n4w,22,51,71,20,4.330916878114617,Diverging
209,334n4w,23,21,24,3,1.6438561897747248,Diverging
210,334n4w,24,18,23,5,2.357552004618084,Diverging
211,334n4w,25,71,75,4,2.0443941193584534,Diverging
212,334n4w,26,89,76,13,3.7142455176661215,Diverging
213,334n4w,27,85,93,8,3.0223678130284544,Diverging
214,334n4w,28,48,42,6,2.6147098441152083,Diverging
215,334n4w,29,59,81,22,4.467605550082998,Diverging
216,334n4w,30,18,24,6,2.6147098441152083,Diverging
217,334n4w,31,82,89,7,2.8328900141647417,Diverging
218,334n4w,32,82,83,1,0.1699250014423123,Diverging
219,334n4w,33,54,70,16,4.011227255423254,Diverging
220,334n4w,34,11,3,8,3.0223678130284544,Diverging
221,334n4w,35,8,12,4,2.0443941193584534,Diverging
222,334n4w,36,44,21,23,4.531381460516312,Diverging
223,334n4w,37,88,86,2,1.087462841250339,Diverging
224,334n4w,38,32,25,7,2.8328900141647417,Diverging
225,334n4w,39,75,72,3,1.6438561897747248,Diverging
226,334n4w,40,27,24,3,1.6438561897747248,Diverging
227,334n4w,41,55,56,1,0.1699250014423123,Stacked
228,334n4w,42,53,50,3,1.6438561897747248,Stacked
229,334n4w,43,19,37,18,4.179909090014935,Stacked
230,334n4w,44,26,25,1,0.1699250014423123,Stacked
231,334n4w,45,39,44,5,2.357552004618084,Stacked
232,334n4w,46,88,93,5,2.357552004618084,Stacked
233,334n4w,47,9,11,2,1.087462841250339,Stacked
234,334n4w,48,58,79,21,4.400879436282184,Stacked
235,334n4w,49,93,100,7,2.8328900141647417,Stacked
236,334n4w,50,75,86,11,3.4757334309663976,Stacked
237,334n4w,51,50,45,5,2.357552004618084,Stacked
238,334n4w,52,92,77,15,3.918863237274594,Stacked
239,334n4w,53,13,21,8,3.0223678130284544,Stacked
240,334n4w,54,47,44,3,1.6438561897747248,Stacked
241,334n4w,55,94,89,5,2.357552004618084,Stacked
242,334n4w,56,43,34,9,3.189824558880017,Stacked
243,334n4w,57,26,37,11,3.4757334309663976,Stacked
244,334n4w,58,91,89,2,1.087462841250339,Stacked
245,334n4w,59,85,80,5,2.357552004618084,Stacked
246,334n4w,60,70,63,7,2.8328900141647417,Stacked
247,3478ue,1,59,50,9,3.189824558880017,Normal
248,3478ue,2,71,60,11,3.4757334309663976,Normal
249,3478ue,3,17,9,8,3.0223678130284544,Normal
250,3478ue,4,74,84,10,3.3398500028846247,Normal
251,3478ue,5,42,39,3,1.6438561897747248,Normal
252,3478ue,6,40,18,22,4.467605550082998,Normal
253,3478ue,7,19,27,8,3.0223678130284544,Normal
254,3478ue,8,90,92,2,1.087462841250339,Normal
255,3478ue,9,81,88,7,2.8328900141647417,Normal
256,3478ue,10,41,24,17,4.098032082960526,Normal
257,3478ue,11,10,29,19,4.257387842692652,Normal
258,3478ue,12,48,26,22,4.467605550082998,Normal
259,3478ue,13,47,50,3,1.6438561897747248,Normal
260,3478ue,14,58,50,8,3.0223678130284544,Normal
261,3478ue,15,76,91,15,3.918863237274594,Normal
262,3478ue,16,80,64,16,4.011227255423254,Normal
263,3478ue,17,29,32,3,1.6438561897747248,Normal
264,3478ue,18,73,70,3,1.6438561897747248,Normal
265,3478ue,19,94,97,3,1.6438561897747248,Normal
266,3478ue,20,59,44,15,3.918863237274594,Normal
267,3478ue,21,31,10,21,4.400879436282184,Diverging
268,3478ue,22,36,23,13,3.7142455176661215,Diverging
